primary_type,location_description,f0_
THEFT,STREET,452281
CRIMINAL DAMAGE,STREET,325287
BATTERY,APARTMENT,306007
MOTOR VEHICLE THEFT,STREET,303900
BATTERY,RESIDENCE,297106
NARCOTICS,STREET,266231
BATTERY,STREET,249220
NARCOTICS,SIDEWALK,233307
OTHER OFFENSE,RESIDENCE,216004
BATTERY,SIDEWALK,204843
THEFT,RESIDENCE,169549
CRIMINAL DAMAGE,RESIDENCE,166769
BURGLARY,RESIDENCE,142717
BURGLARY,APARTMENT,124014
ASSAULT,STREET,105868
DECEPTIVE PRACTICE,RESIDENCE,103373
CRIMINAL DAMAGE,APARTMENT,101571
THEFT,APARTMENT,96680
ROBBERY,STREET,93613
ROBBERY,SIDEWALK,88308
ASSAULT,RESIDENCE,87338
THEFT,SMALL RETAIL STORE,85383
THEFT,OTHER,84909
OTHER OFFENSE,STREET,83924
OTHER OFFENSE,APARTMENT,83108
THEFT,DEPARTMENT STORE,81814
THEFT,PARKING LOT/GARAGE(NON.RESID.),74741
ASSAULT,APARTMENT,72845
BURGLARY,RESIDENCE-GARAGE,69636
ASSAULT,SIDEWALK,64988
THEFT,GROCERY FOOD STORE,62968
PROSTITUTION,STREET,58070
THEFT,SIDEWALK,52891
BATTERY,"SCHOOL, PUBLIC, BUILDING",51517
NARCOTICS,ALLEY,47604
THEFT,RESTAURANT,47535
WEAPONS VIOLATION,STREET,42715
THEFT,VEHICLE NON-COMMERCIAL,41952
DECEPTIVE PRACTICE,APARTMENT,37962
CRIMINAL DAMAGE,RESIDENCE-GARAGE,36513
CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),34898
BATTERY,RESIDENCE PORCH/HALLWAY,31440
BATTERY,ALLEY,31382
OFFENSE INVOLVING CHILDREN,RESIDENCE,30155
CRIMINAL DAMAGE,OTHER,29760
DECEPTIVE PRACTICE,OTHER,28518
NARCOTICS,RESIDENCE,28415
BATTERY,OTHER,28101
THEFT,RESIDENTIAL YARD (FRONT/BACK),27952
CRIMINAL TRESPASS,RESIDENCE,27532
THEFT,RESIDENCE PORCH/HALLWAY,26003
THEFT,"SCHOOL, PUBLIC, BUILDING",25865
THEFT,DRUG STORE,25856
MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),25654
ASSAULT,"SCHOOL, PUBLIC, BUILDING",25596
DECEPTIVE PRACTICE,STREET,22487
NARCOTICS,VEHICLE NON-COMMERCIAL,22245
NARCOTICS,CHA PARKING LOT/GROUNDS,21044
ROBBERY,ALLEY,20741
THEFT,GAS STATION,20427
